step,split,CE_to_pseudo_label,expected_GC,bounded_GC_penalty,expected_log_CAI,total_loss,synonym_mask_coverage
500,eval,3.06699038,0.34666181,0.05333820,-0.31489882,3.09340286,1.00000000
500,eval,3.05928588,0.33810461,0.06189540,-0.31111723,3.08722091,1.00000000
500,eval,3.05582666,0.34578159,0.05421841,-0.31443763,3.08239222,1.00000000
500,eval,3.06005383,0.34004554,0.05995446,-0.30664736,3.08737707,1.00000000
500,eval,3.05060601,0.34684533,0.05315468,-0.31494150,3.07698393,1.00000000
500,eval,3.05228353,0.34274802,0.05725199,-0.30808315,3.07913804,1.00000000
500,eval,3.06173205,0.34149808,0.05850193,-0.30640805,3.08875275,1.00000000
500,eval,3.06435204,0.33895585,0.06104416,-0.30970779,3.09204626,1.00000000
500,eval,3.05554938,0.34468457,0.05531543,-0.31496611,3.08236074,1.00000000
500,eval,3.06481695,0.33644027,0.06355974,-0.31064928,3.09306145,1.00000000
500,eval,3.06013465,0.33876762,0.06123239,-0.30515152,3.08763862,1.00000000
500,eval,3.07990932,0.33877423,0.06122577,-0.31280470,3.10779476,1.00000000
500,eval,3.07596731,0.33413053,0.06586948,-0.30999184,3.10464072,1.00000000
500,eval,3.06591749,0.33334935,0.06665066,-0.31557813,3.09502673,1.00000000
500,eval,3.05976176,0.34989992,0.05010009,-0.30785546,3.08517456,1.00000000
500,eval,3.05969667,0.33757266,0.06242734,-0.31006309,3.08768535,1.00000000
500,eval,3.06476259,0.33807617,0.06192383,-0.30872053,3.09258318,1.00000000
500,eval,3.05228901,0.33843121,0.06156880,-0.31423882,3.08031487,1.00000000
500,eval,3.06849813,0.34293389,0.05706611,-0.31319296,3.09557104,1.00000000
500,eval,3.06734681,0.33809906,0.06190094,-0.30897468,3.09517574,1.00000000
500,eval,3.06337857,0.33544961,0.06455040,-0.31587619,3.09208250,1.00000000
500,eval,3.05949283,0.34391785,0.05608216,-0.30765736,3.08609200,1.00000000
500,eval,3.07285595,0.33966303,0.06033698,-0.31070277,3.10045838,1.00000000
500,eval,3.05609822,0.33885986,0.06114015,-0.31147966,3.08390021,1.00000000
500,eval,3.05096221,0.34109312,0.05890688,-0.31977469,3.07873249,1.00000000
500,eval,3.06024599,0.33603293,0.06396708,-0.31147999,3.08861327,1.00000000
500,eval,3.06972265,0.34362334,0.05637667,-0.31214732,3.09660530,1.00000000
500,eval,3.04813099,0.34060907,0.05939093,-0.31024820,3.07552171,1.00000000
500,eval,3.07102752,0.33573657,0.06426343,-0.31342918,3.09955168,1.00000000
500,eval,3.07653522,0.34031019,0.05968982,-0.31026542,3.10398626,1.00000000
500,eval,3.05001855,0.33788955,0.06211045,-0.31273186,3.07807732,1.00000000
500,eval,3.04293680,0.33543447,0.06456554,-0.31028980,3.07136440,1.00000000
500,eval,3.06320786,0.33961529,0.06038472,-0.31040335,3.09080482,1.00000000
500,eval,3.06454659,0.34074357,0.05925643,-0.31101626,3.09194875,1.00000000
500,eval,3.06867862,0.33738822,0.06261179,-0.31180620,3.09679127,1.00000000
500,eval,3.07433510,0.33761746,0.06238255,-0.30448848,3.10203600,1.00000000
500,eval,3.07869482,0.33615202,0.06384799,-0.30846706,3.10688782,1.00000000
500,eval,3.06341934,0.34479746,0.05520254,-0.31963205,3.09044147,1.00000000
500,eval,3.04374290,0.34190035,0.05809966,-0.31315410,3.07102060,1.00000000
500,eval,3.06397033,0.33842272,0.06157729,-0.31199637,3.09188557,1.00000000
500,eval,3.06443310,0.33507380,0.06492621,-0.31475797,3.09315634,1.00000000
500,eval,3.06943870,0.34753820,0.05246180,-0.31097946,3.09547997,1.00000000
500,eval,3.05272055,0.34321758,0.05678242,-0.31419098,3.07978678,1.00000000
500,eval,3.06688571,0.34219962,0.05780038,-0.31511053,3.09420109,1.00000000
500,eval,3.06345320,0.33731350,0.06268650,-0.31023630,3.09150219,1.00000000
500,eval,3.07698011,0.34367436,0.05632564,-0.31049371,3.10376978,1.00000000
500,eval,3.06456923,0.33946833,0.06053168,-0.31824321,3.09258771,1.00000000
500,eval,3.08416986,0.34272394,0.05727607,-0.30695415,3.11097288,1.00000000
500,eval,3.05557156,0.33076373,0.06923628,-0.30548871,3.08469343,1.00000000
500,eval,3.06552410,0.33253226,0.06746775,-0.31282422,3.09465885,1.00000000
500,eval,3.06068444,0.33751243,0.06248757,-0.30908540,3.08863616,1.00000000
500,eval,3.07522893,0.33650035,0.06349966,-0.31040040,3.10344887,1.00000000
500,eval,3.05993938,0.33691797,0.06308204,-0.31587443,3.08834958,1.00000000
500,eval,3.05679059,0.33595443,0.06404558,-0.31232268,3.08521581,1.00000000
500,eval,3.06594634,0.34164625,0.05835375,-0.31116870,3.09317565,1.00000000
500,eval,3.07224917,0.33984220,0.06015781,-0.31265962,3.09991360,1.00000000
500,eval,3.06317925,0.34350288,0.05649713,-0.30567345,3.08976221,1.00000000
500,eval,3.06647110,0.33756787,0.06243214,-0.31321448,3.09461832,1.00000000
500,eval,3.07141995,0.33683434,0.06316566,-0.31407595,3.09975672,1.00000000
500,eval,3.05189490,0.35138020,0.04861981,-0.31226736,3.07723212,1.00000000
500,eval,3.06106496,0.34442359,0.05557641,-0.31178674,3.08776951,1.00000000
500,eval,3.06256819,0.33916414,0.06083587,-0.30735248,3.09010291,1.00000000
500,eval,3.04187369,0.34509182,0.05490819,-0.31200454,3.06845546,1.00000000
500,eval,3.06180644,0.33976123,0.06023878,-0.31207228,3.08945775,1.00000000
500,eval,3.07213163,0.33940041,0.06059960,-0.31143007,3.09982324,1.00000000
500,eval,3.05085087,0.33765966,0.06234035,-0.31558231,3.07909799,1.00000000
500,eval,3.06605506,0.34039780,0.05960220,-0.31400135,3.09367561,1.00000000
500,eval,3.05443215,0.33949223,0.06050777,-0.30702722,3.08188510,1.00000000
500,eval,3.07566547,0.33920905,0.06079096,-0.30626914,3.10313702,1.00000000
500,eval,3.05943084,0.34422871,0.05577129,-0.30060166,3.08561516,1.00000000
500,eval,3.06664801,0.34057039,0.05942962,-0.30901262,3.09398460,1.00000000
500,eval,3.05493546,0.34512240,0.05487761,-0.30939475,3.08138084,1.00000000
